Region,Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central Europe,Albania,0.057912704,0.046708878,0.031994511,0.025478191,0.020535874,0.013790296,0.012830808,0.012382426,0.012492101,0.012463602,0.013092914,0.013200345,0.013368429,0.013811579,0.01350005,0.015677691,0.018207653,0.019848689,0.015172171,0.015585919,0.015282663,0.014870826,0.014089821,0.01346516,0.011623039,0.01103581,0.011086964,0.011605448,0.012996763,0.01258268,0.014156359
Central Europe,Bosnia and Herzegovina,,,,,,,,,,,,0.039043729,0.024166977,0.018896028,0.015442197,0.013865335,0.012361529,0.01220612,0.013765862,0.012803414,0.011364303,0.011455719,0.010870558,0.010258269,0.010006137,0.009339008,0.008641827,0.008525486,0.008200662,0.00845572,0.008949383
Central Europe,Bulgaria,0.030432316,0.029726338,0.026092716,0.024926173,0.023741313,0.024029341,0.024307014,0.024530591,0.02645172,0.026711705,0.028844614,0.028012596,0.027120207,0.023919935,0.022528982,0.020969913,0.022296113,0.021335248,0.017395115,0.016524682,0.013207173,0.013363553,0.014593401,0.013137045,0.012488481,0.012467073,0.012262437,0.014515684,0.031484755,0.015444513,0.01594889
Central Europe,Croatia,,0.076073864,0.107267572,0.111481773,0.093150104,0.082920111,0.089424925,0.066002195,0.044296297,0.030300558,0.027027738,0.027306333,0.020462989,0.017601437,0.017623284,0.016858051,0.016284306,0.018451879,0.017898345,0.016811906,0.017515682,0.016703631,0.016250085,0.018231861,0.017605797,0.016003581,0.016435934,0.0155249,0.016093024,0.017708518,0.027355686
Central Europe,Czechia,,,0.023304041,0.022834009,0.018436228,0.017319047,0.016620458,0.018259318,0.018590699,0.01877357,0.017512496,0.01824407,0.01892764,0.017137032,0.017900838,0.015759062,0.014309147,0.012324716,0.013105641,0.011947722,0.010778365,0.010632168,0.010150837,0.009662278,0.009465821,0.009961281,0.009566554,0.0108867,0.011525214,0.013258191,0.014340914
Central Europe,Estonia,,,0.00761752,0.010416303,0.009580983,0.008735961,0.010467725,0.010674917,0.012871134,0.013763271,0.015022145,0.016671295,0.017430493,0.016996892,0.014509199,0.013884224,0.016575821,0.017650497,0.017889384,0.016864701,0.016640102,0.018835796,0.018966666,0.019127859,0.020113352,0.020518444,0.020077335,0.020086659,0.020240188,0.023637676,0.02155515
Central Europe,Hungary,0.021614698,0.021796532,0.019065683,0.018241344,0.013247275,0.01259061,0.014766844,0.012721642,0.014336126,0.015131002,0.015701271,0.015937738,0.016426216,0.014727238,0.014120288,0.0122301,0.012702581,0.011811797,0.011286455,0.010239956,0.01038426,0.010292054,0.009453031,0.008594478,0.009054446,0.010031063,0.010266576,0.011166414,0.012543863,0.018566293,0.016360659
Central Europe,Kosovo,,,,,,,,,,,,,,,,,,0.000163028,0.004815973,0.006617087,0.007615412,0.006675633,0.006871483,0.007253115,0.007761514,0.007736674,0.007957205,0.007979143,0.00826154,0.010605525,0.009398589
Central Europe,Latvia,,,0.007352954,0.008387572,0.008056568,0.006391447,0.005821149,0.00587848,0.007509408,0.00881715,0.010415388,0.015422083,0.016100243,0.015956582,0.016106219,0.017150186,0.015528724,0.016270909,0.013822678,0.010875152,0.010371597,0.00902699,0.009317867,0.009439353,0.010378293,0.014506933,0.015948215,0.020622774,0.02028669,0.022550151,0.02280419
Central Europe,Lithuania,,,0.008122606,0.004933776,0.004543729,0.0050398,0.007471112,0.012292543,0.009701025,0.012167,0.013619436,0.012712887,0.011212285,0.011959433,0.011622116,0.011651848,0.011136076,0.011316086,0.010828038,0.008786591,0.007907008,0.007652658,0.007629075,0.008795963,0.011377482,0.014775059,0.017120705,0.019674191,0.020071507,0.021276314,0.020217262
Central Europe,North Macedonia,,,,,,0.028136767,0.021282469,0.020982398,0.017138206,0.018508215,0.061003956,0.026455975,0.023417012,0.023801041,0.020292633,0.018365377,0.019500697,0.017423409,0.016881646,0.013821546,0.012621871,0.012253197,0.011694372,0.010929608,0.009934277,0.00970116,0.008950414,0.009431087,0.011645941,0.012481217,0.015410425
Central Europe,Montenegro,,,,,,,,,,,,,,,0.026943633,0.022907121,0.017440598,0.018721819,0.018437594,0.018143477,0.017489672,0.016564633,0.014522627,0.014722715,0.014037162,0.014112798,0.013627764,0.013692948,0.013344127,0.016690992,0.017429456
Central Europe,Poland,0.022516502,0.022309994,0.024691873,0.022732321,0.019555071,0.019679194,0.020313067,0.020190813,0.019011358,0.018303366,0.01905638,0.019006386,0.01908042,0.01873241,0.019261299,0.019200448,0.020020328,0.017521397,0.017974162,0.018319183,0.017898088,0.01802713,0.017803226,0.019070465,0.021374071,0.019384627,0.01894931,0.020495721,0.019710413,0.022983157,0.021204144
Central Europe,Romania,0.047733347,0.042476825,0.02740608,0.031147284,0.026134477,0.023690729,0.0301765,0.030041749,0.026402593,0.024989142,0.024207452,0.022872961,0.020884871,0.020076576,0.019819353,0.018225711,0.014936183,0.013999844,0.012780696,0.012544216,0.012981627,0.012323827,0.012853828,0.013459986,0.014519688,0.01406137,0.017210717,0.018052417,0.01843956,0.020308867,0.019539229
Central Europe,Serbia,,,,,,0.035112859,0.037865045,0.03511898,0.040059474,0.051539432,0.040275712,0.042099541,0.034479085,0.029731616,0.022739436,0.021706212,0.022505172,0.021297981,0.021572765,0.020859653,0.02003645,0.019709937,0.019006599,0.019407688,0.018260863,0.017451557,0.018375075,0.016149376,0.022144191,0.021021793,0.020865005
Central Europe,Slovakia,,,0.019963603,0.01939519,0.031545581,0.029738287,0.022831162,0.017443365,0.015738265,0.016553124,0.01843161,0.017760268,0.018411111,0.01652006,0.016814409,0.015965126,0.014783889,0.014593851,0.015164867,0.012597404,0.010742659,0.010791595,0.009791969,0.009859735,0.011144881,0.011195561,0.011072576,0.012277756,0.017118912,0.019504937,0.017058158
Central Europe,Slovenia,,0.022472333,0.018173014,0.016540747,0.015730348,0.015363628,0.014013683,0.013611825,0.012113025,0.010931663,0.013004825,0.013876186,0.014037983,0.014306519,0.014201972,0.015421822,0.014429145,0.014929191,0.015861568,0.016031252,0.012921708,0.011667912,0.010469483,0.009737396,0.009301195,0.010042871,0.009818311,0.009781148,0.010573034,0.010614253,0.012180758
Eastern Europe,Belarus,,0.016224986,0.027909715,0.036216083,0.016994638,0.012606926,0.017689666,0.014950987,0.013667607,0.013469842,0.014382907,0.014002458,0.012990639,0.013582223,0.014984531,0.017094125,0.016497659,0.014534929,0.01372577,0.013413834,0.012244951,0.012292187,0.012707967,0.012688425,0.012574824,0.01253515,0.01146289,0.011822617,0.012008645,0.011741698,0.011558057
Eastern Europe,Georgia,,,,,,0.02210173,0.012535877,0.01136974,0.009243749,0.006155825,0.00740186,0.01000533,0.010684891,0.01373839,0.033391698,0.05218307,0.091591165,0.085201184,0.056065971,0.037096324,0.031029687,0.029837341,0.025705524,0.023579396,0.020029459,0.020816403,0.01969743,0.018971132,0.017499243,0.017829881,0.016732217
Eastern Europe,Moldova,,,0.005300672,0.007737941,0.009259659,0.009066937,0.009027725,0.006248552,0.005112991,0.003872825,0.004025923,0.004198466,0.004163813,0.00360979,0.004002351,0.004826345,0.005161935,0.006085356,0.004578866,0.002628792,0.002729496,0.002740799,0.002812615,0.002898526,0.002976255,0.003403299,0.003193186,0.003263751,0.00355073,0.003748385,0.004116136
Eastern Europe,Russia,,0.044270323,0.041813246,0.045237007,0.0378443,0.037565588,0.040398093,0.027326491,0.030732879,0.033070298,0.035463192,0.037562774,0.036708381,0.033003536,0.033301032,0.032452544,0.031185421,0.03149486,0.039240634,0.035850857,0.034330438,0.036892404,0.038540426,0.04112993,0.048715147,0.054251477,0.042489961,0.036925188,0.038321157,0.042634498,0.040800662
Eastern Europe,Ukraine,,,0.003523529,0.017983403,0.020359574,0.021907863,0.027949791,0.021059817,0.019007562,0.021510492,0.018868711,0.019846842,0.02124209,0.019670586,0.02405749,0.023877456,0.024725274,0.023027411,0.019089819,0.01902361,0.015336412,0.016133199,0.015792917,0.022450205,0.032511808,0.031547766,0.028844015,0.031923533,0.035201524,0.038118495,0.032283469
Western Europe,Austria,0.011542171,0.010992141,0.011155845,0.010944531,0.010732321,0.01049683,0.01046434,0.010180729,0.009802461,0.009803186,0.0090824,0.008835278,0.009136403,0.008934805,0.008501426,0.007858132,0.009004572,0.008707051,0.008333796,0.008212327,0.007908976,0.007784643,0.007508254,0.007477801,0.006981382,0.007297377,0.007573213,0.007447384,0.007275132,0.008329894,0.008021217
Western Europe,Belgium,0.022876928,0.018323325,0.017359659,0.016771432,0.015657522,0.015401027,0.014769758,0.014639193,0.013858356,0.013412103,0.012765042,0.012157122,0.012149882,0.011492721,0.010915601,0.010512392,0.010945353,0.012138983,0.011600399,0.010846329,0.010435068,0.010417565,0.010089595,0.009709598,0.009092842,0.008947062,0.008836806,0.008913995,0.008893872,0.010451027,0.010818078
Western Europe,Cyprus,0.072647761,0.09129286,0.040749526,0.040239892,0.030410342,0.045247148,0.055739108,0.046763179,0.02733851,0.028220902,0.031532222,0.021301607,0.019851631,0.019557692,0.020374697,0.018999979,0.016845997,0.016297049,0.018168195,0.018578077,0.017426623,0.016593987,0.016110616,0.015472605,0.016532134,0.014108257,0.015831113,0.017804857,0.018580435,0.020534803,0.019868122
Western Europe,Denmark,0.019546802,0.018893773,0.019071977,0.017701099,0.016853147,0.016448167,0.016159612,0.016080264,0.015648547,0.014574441,0.015323807,0.015081499,0.014668512,0.014237042,0.013114886,0.013774922,0.013072471,0.013550045,0.013501786,0.013986218,0.013135313,0.01351819,0.01227252,0.011492733,0.01111446,0.011476376,0.011382333,0.012775393,0.013109772,0.013982031,0.013715915
Western Europe,Finland,0.01781231,0.01907131,0.018680115,0.017556036,0.014225415,0.015304723,0.015351551,0.014631756,0.012231038,0.012411475,0.011445128,0.011546372,0.014468573,0.014701636,0.014671904,0.014447667,0.012908879,0.013949174,0.015607424,0.014917582,0.01489409,0.015265847,0.015338609,0.014519302,0.01449961,0.014196526,0.013534986,0.013622124,0.013477111,0.015304509,0.020302808
Western Europe,France,0.028121364,0.026906607,0.026895348,0.02660375,0.024924962,0.02414474,0.023754097,0.022262083,0.02177843,0.020850182,0.020306953,0.02046258,0.020956804,0.021043508,0.020237069,0.019750983,0.019075286,0.018970759,0.020981473,0.019694194,0.018914062,0.018710806,0.018498759,0.018629614,0.018722583,0.019172824,0.01908642,0.018430087,0.018364615,0.020094578,0.019453823
Western Europe,Germany,0.01997835,0.018604799,0.016935383,0.015502764,0.01495022,0.014658585,0.014093017,0.013908948,0.013950744,0.01358883,0.013234383,0.013279581,0.013169249,0.012689574,0.010656297,0.01199303,0.011724718,0.01209034,0.013106041,0.012668266,0.012061503,0.012416775,0.011852579,0.01149942,0.011373384,0.011496545,0.011540494,0.011678329,0.012602678,0.013862262,0.013373843
Western Europe,Greece,0.034848651,0.036298009,0.036001247,0.035819723,0.031731902,0.033119133,0.033658689,0.035338688,0.033604699,0.034653553,0.032514129,0.030773746,0.024938948,0.026056725,0.028365963,0.027834189,0.026793059,0.029830523,0.032248411,0.027502183,0.025222788,0.024436708,0.02371304,0.023507829,0.02466921,0.025759178,0.025634899,0.027164531,0.026669519,0.028131619,0.038673696
Western Europe,Ireland,0.012539353,0.012041185,0.011392251,0.011087326,0.010143594,0.009899272,0.009240661,0.008238695,0.007506765,0.006956977,0.007035172,0.006340137,0.005875409,0.005683223,0.005409932,0.005129363,0.005084126,0.00575953,0.006002271,0.00573793,0.005471748,0.005144945,0.005014022,0.004606757,0.003420159,0.003344418,0.003041411,0.002868624,0.002791453,0.002874877,0.002647912
Western Europe,Italy,0.018588527,0.01751977,0.01786768,0.017137428,0.014678431,0.015884923,0.016266928,0.016445089,0.016832998,0.017410595,0.016793647,0.017061872,0.017089955,0.016826733,0.016051704,0.015254829,0.014470525,0.01535675,0.015542107,0.015004946,0.014759566,0.01426925,0.013990204,0.012829697,0.012082283,0.013348353,0.013573706,0.013592909,0.013127617,0.015344124,0.015227301
Western Europe,Luxembourg,0.008113852,0.008271984,0.007071544,0.007415614,0.005953269,0.00587036,0.0061389,0.006399205,0.005714019,0.005441185,0.006802871,0.005868255,0.006071799,0.006112355,0.005896432,0.005264348,0.005585019,0.003926962,0.003802921,0.005057264,0.004156523,0.003868907,0.003989835,0.00408606,0.00451585,0.004090977,0.005249035,0.00529797,0.005744917,0.006273384,0.006268808
Western Europe,Malta,0.008711199,0.009731834,0.01001961,0.010240591,0.008423582,0.008748124,0.008246912,0.007314719,0.006836547,0.006255173,0.006669174,0.006358461,0.006301229,0.0067053,0.00821185,0.006550958,0.006176907,0.006163692,0.00679751,0.006505909,0.005806402,0.005275879,0.005099476,0.004867616,0.004672037,0.005106577,0.004787112,0.004364802,0.005103716,0.004568543,0.0051366
Western Europe,Netherlands,0.022485315,0.022130026,0.020278294,0.01913061,0.017942405,0.017566077,0.016592732,0.015806481,0.015898254,0.014340043,0.014379069,0.01426556,0.014438096,0.014268278,0.013964853,0.013933891,0.013547168,0.013053192,0.013976333,0.013254337,0.012883653,0.012354089,0.011661516,0.011596879,0.011327115,0.011636269,0.011568037,0.012166742,0.013229299,0.014806517,0.014224507
Western Europe,Norway,0.027474872,0.029647003,0.026873498,0.027331371,0.02307491,0.02163075,0.020160796,0.021567377,0.020391056,0.017058319,0.017045415,0.020805919,0.019748545,0.018487851,0.015814676,0.014502438,0.014653815,0.013782416,0.01604295,0.015156982,0.014514358,0.014021342,0.014139965,0.014720388,0.015072796,0.016266815,0.017194972,0.017262444,0.018584342,0.020060349,0.018413552
Western Europe,Portugal,0.024231105,0.023903902,0.023655798,0.022261558,0.022602882,0.021207957,0.020407027,0.018837333,0.018880106,0.01862356,0.019127199,0.019385631,0.018852165,0.01965918,0.020473039,0.0194997,0.018180552,0.018365587,0.020307989,0.019802166,0.0200265,0.019121371,0.020896306,0.017905113,0.017879744,0.020040237,0.016718789,0.017647077,0.017814609,0.018866739,0.020727574
Western Europe,Spain,0.021291922,0.020428037,0.020118717,0.020013374,0.019170224,0.01814439,0.017228157,0.017573199,0.017552346,0.01725518,0.01629584,0.014559737,0.014225444,0.014302212,0.013871778,0.013700075,0.013631063,0.013676205,0.013583538,0.013873781,0.013318766,0.014236373,0.012727707,0.012544591,0.012708238,0.01137728,0.012306908,0.012549592,0.012338322,0.013630667,0.013707815
Western Europe,Sweden,0.023198846,0.023387909,0.022637108,0.021314662,0.01753405,0.014846029,0.019089759,0.018726238,0.018659494,0.018230674,0.017772983,0.016411545,0.0159679,0.014412834,0.014158884,0.013272074,0.012999815,0.011637472,0.011598043,0.011871285,0.011016912,0.011301103,0.011125205,0.011264473,0.010665021,0.010530164,0.010231792,0.010322461,0.010934092,0.011587757,0.012768498
Western Europe,Switzerland,0.015378249,0.015237093,0.013669643,0.013322841,0.013558109,0.012843358,0.012209463,0.0118432,0.010854016,0.010292809,0.009918804,0.009563888,0.009266312,0.008889243,0.008526233,0.007725495,0.007344364,0.007186377,0.007265665,0.006820003,0.006888643,0.006635022,0.007061241,0.006281043,0.006438909,0.00657387,0.006569178,0.006440265,0.006864297,0.008495532,0.007116428
Western Europe,United Kingdom,0.041168024,0.038647178,0.035906495,0.033819337,0.028541995,0.027245923,0.025601488,0.024959623,0.024229096,0.023727966,0.024111221,0.024856597,0.02552062,0.024978214,0.024342032,0.023634402,0.023644431,0.02480904,0.026388178,0.025682959,0.02488683,0.024070863,0.022772433,0.021685946,0.020290448,0.01959895,0.019199804,0.019195492,0.019764796,0.022407982,0.022232283
